,LAT_016,LONG_017,lat,long,elevation
7735,30583705,84012319,30.968,-84.017,203.41
7736,30583687,84011214,30.968,-84.017,203.41
7737,31002199,83521797,31.001,-83.867,255.91
7738,30532126,83583561,30.884,-83.968,269.03
7739,30570025,83574428,30.95,-83.951,213.25
7740,30494493,83563416,30.818,-83.934,278.87
7741,30494466,83563339,30.818,-83.934,278.87
7742,30554249,83595053,30.918,-83.985,246.06
7743,30533429,83522215,30.884,-83.867,275.59
7744,30525354,83510219,30.868,-83.85,187.01
7745,30424410,83444293,30.701,-83.735,134.51
7746,31015916,84004896,31.018,-84.001,242.78
7747,31015307,84003758,31.018,-84.001,242.78
7748,30500038,83593159,30.833,-83.984,265.75
7749,30512462,83584594,30.851,-83.968,314.96
7750,30522838,84044502,30.867,-84.068,206.69
7751,30523463,84024911,30.868,-84.035,229.66
7752,30554310,83595002,30.918,-83.985,246.06
7753,31000885,83562266,31.0,-83.934,213.25
7754,30495754,84002617,30.818,-84.001,305.12
7755,30470171,83590567,30.783,-83.983,239.5
7756,30435174,83532065,30.718,-83.884,154.2
7757,30395979,83470024,30.652,-83.783,111.55
7758,30443652,83471143,30.734,-83.784,164.04
7759,30444045,83470949,30.734,-83.784,164.04
7760,30420651,83490548,30.7,-83.817,141.08
7761,30430930,83573247,30.717,-83.951,157.48
7762,30430933,83555163,30.717,-83.918,226.38
7763,30474171,83512268,30.784,-83.851,196.85
7764,30480568,83511429,30.8,-83.85,170.6
7765,30451803,83575918,30.751,-83.952,183.73
7766,30550908,83525883,30.917,-83.868,255.91
7767,30500135,83492478,30.833,-83.817,216.54
7768,30510032,83461225,30.85,-83.767,200.13
7769,30515050,83510288,30.851,-83.85,206.69
7770,30514874,83512646,30.851,-83.851,196.85
7771,30474401,83541346,30.785,-83.9,203.41
7772,30541411,83451972,30.9,-83.751,255.91
7773,30482721,83483236,30.801,-83.801,203.41
7774,30482754,83470585,30.801,-83.783,209.97
7775,30462496,83444898,30.767,-83.735,164.04
7776,30585221,84043838,30.968,-84.068,291.99
7777,30583676,84054491,30.968,-84.085,265.75
7778,31022846,84060079,31.034,-84.1,295.28
7779,30562860,83531078,30.934,-83.884,252.62
7780,30584134,83494404,30.968,-83.818,229.66
7781,31015383,83540756,31.018,-83.9,275.59
7782,31020157,83550271,31.033,-83.917,229.66
7783,30580606,83514881,30.967,-83.851,252.62
7784,30590819,83441575,30.984,-83.734,229.66
7785,30435394,83580357,30.718,-83.967,213.25
7786,31033222,84012917,31.051,-84.017,255.91
7787,31005529,84010994,31.002,-84.017,209.97
7788,31001836,84064093,31.001,-84.101,246.06
7789,30530481,83585430,30.883,-83.968,269.03
7790,30551844,84025013,30.917,-84.035,242.78
7791,30553849,84021201,30.918,-84.034,232.94
7792,30560261,84000568,30.933,-84.0,167.32
7793,30561251,84000032,30.934,-84.0,170.6
7794,30564956,84041700,30.935,-84.067,219.82
7795,30545356,84042809,30.901,-84.067,252.62
7796,31014702,84062120,31.018,-84.101,314.96
7797,31014800,84062487,31.018,-84.101,314.96
7798,30591759,83521041,30.984,-83.867,213.25
7799,30520987,83590049,30.867,-83.983,242.78
7800,30565204,83563152,30.935,-83.934,209.97
7801,30570770,83562018,30.95,-83.934,242.78
7802,30531640,83473807,30.884,-83.784,239.5
7803,30572401,83484446,30.951,-83.801,259.19
7804,31020441,83562137,31.033,-83.934,239.5
7805,31020124,83560808,31.033,-83.934,239.5
7806,30474246,83483013,30.785,-83.801,141.08
7807,31005122,84005504,31.001,-84.002,272.31
7808,30530243,83494098,30.883,-83.818,259.19
7809,30563382,83540021,30.934,-83.9,219.82
7810,30495037,83461138,30.818,-83.767,239.5
7811,31020484,84012679,31.033,-84.017,209.97
7812,30544622,83454928,30.901,-83.751,216.54
7813,30434440,83592986,30.718,-83.984,242.78
7814,30522789,83590347,30.867,-83.983,242.78
7815,30485450,83444855,30.802,-83.735,167.32
7816,30485241,83445528,30.801,-83.735,164.04
7817,30583136,84070001,30.968,-84.117,236.22
7818,30594390,84022090,30.985,-84.034,259.19
7819,30442655,83471316,30.734,-83.784,164.04
7820,30555433,83555775,30.918,-83.918,282.15
7821,31043781,84005878,31.068,-84.002,288.71
7822,31043849,84022378,31.068,-84.034,232.94
7823,30575893,83583212,30.952,-83.968,173.88
7824,30575410,84044616,30.952,-84.068,252.62
7825,30522686,83590357,30.867,-83.983,242.78
7826,31022313,83550829,31.034,-83.917,216.54
7827,31022576,83551066,31.034,-83.917,216.54
7828,31000903,84063805,31.0,-84.101,252.62
7829,30595924,83444423,30.985,-83.735,223.1
7830,30532616,83503375,30.884,-83.834,236.22
7831,30495719,84002541,30.818,-84.001,305.12
7832,31022418,83562832,31.034,-83.934,226.38
7833,31020942,83482998,31.034,-83.801,239.5
7834,30545598,83464375,30.902,-83.768,213.25
7835,30495595,83541159,30.818,-83.9,239.5
7836,31011927,84042884,31.017,-84.067,324.8
7837,31011646,83523547,31.017,-83.868,321.52
7838,31012816,83570597,31.017,-83.95,216.54
7839,31011830,83571288,31.017,-83.95,216.54
7840,30504754,83592349,30.835,-83.984,265.75
7841,31012593,83543841,31.017,-83.901,272.31
7842,30565031,83441780,30.935,-83.734,246.06
7843,30412850,83540226,30.684,-83.9,127.95
7844,30412659,83540813,30.684,-83.9,127.95
7845,30511119,83540068,30.85,-83.9,213.25
7846,31000028,83520627,31.0,-83.867,246.06
7847,30434987,84022785,30.718,-84.034,242.78
7848,31004928,84041682,31.001,-84.067,249.34
7849,31033153,84004575,31.051,-84.001,200.13
7850,31251901,83295958,31.417,-83.485,321.52
7851,31341268,83325042,31.567,-83.535,354.33
7852,31232864,83322900,31.384,-83.534,291.99
7853,31282568,83395659,31.467,-83.652,298.56
7854,31282391,83394845,31.467,-83.651,314.96
7855,31261921,83334093,31.434,-83.551,282.15
7856,31262122,83333664,31.434,-83.551,282.15
7857,31262277,83333337,31.434,-83.551,282.15
7858,31263462,83283349,31.434,-83.468,331.36
7859,31254918,83255286,31.418,-83.418,305.12
7860,31315246,83312726,31.518,-83.517,360.89
7861,31340001,83290632,31.567,-83.484,311.68
7862,31255135,83310145,31.418,-83.517,337.93
7863,31260513,83311473,31.433,-83.517,331.36
7864,31270062,83315042,31.45,-83.518,367.45
7865,31270740,83315000,31.45,-83.518,367.45
7866,31282982,83312389,31.467,-83.517,406.82
7867,31284270,83311070,31.468,-83.517,396.98
7868,31233300,83375386,31.384,-83.618,324.8
7869,31283522,83204297,31.468,-83.335,285.43
7870,31315764,83373961,31.518,-83.618,301.84
7871,31315973,83373680,31.518,-83.618,301.84
7872,31285430,83350283,31.468,-83.583,331.36
7873,31285260,83345559,31.468,-83.568,308.4
7874,31330676,83263048,31.55,-83.434,295.28
7875,31325989,83320308,31.535,-83.533,396.98
7876,31210475,83321658,31.35,-83.534,288.71
7877,31210392,83311815,31.35,-83.517,269.03
